127.0.0.1 - - [03/Nov/2015:20:57:48 +0000] "GET /wp-content/plugins/contact-form-7/includes/js/jquery.form.min.js HTTP/1.1" 200 15248
127.0.0.1 - - [03/Nov/2015:20:57:48 +0000] "GET /wp-content/themes/sora%20new/library/js/jquery.slicknav.min.js HTTP/1.1" 200 6356
127.0.0.1 - - [03/Nov/2015:20:57:48 +0000] "GET /wp-content/themes/sora%20new/library/images/Logo.png HTTP/1.1" 200 3427
127.0.0.1 - - [03/Nov/2015:20:57:48 +0000] "GET /wp-content/themes/sora%20new/library/js/scripts.js HTTP/1.1" 200 22506
127.0.0.1 - - [03/Nov/2015:20:57:48 +0000] "GET /wp-content/themes/sora%20new/library/backjs/jquery.backstretch.js HTTP/1.1" 200 12581
127.0.0.1 - - [03/Nov/2015:20:57:48 +0000] "GET /wp-content/themes/sora%20new/library/js/jquery.fullPage.min.js HTTP/1.1" 200 22573
127.0.0.1 - - [03/Nov/2015:20:57:48 +0000] "GET /wp-content/themes/sora%20new/library/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 33555
127.0.0.1 - - [03/Nov/2015:20:57:48 +0000] "GET /wp-content/themes/sora%20new/library/images/treatments/Face.png HTTP/1.1" 200 72638
127.0.0.1 - - [03/Nov/2015:20:57:48 +0000] "GET /wp-content/themes/sora%20new/library/images/treatments/cheeks.png HTTP/1.1" 200 4091
127.0.0.1 - - [03/Nov/2015:20:57:48 +0000] "GET /wp-content/themes/sora%20new/library/images/linkedin.png HTTP/1.1" 404 252
127.0.0.1 - - [03/Nov/2015:20:57:48 +0000] "GET /wp-content/themes/sora%20new/library/images/twitter.png HTTP/1.1" 404 251
127.0.0.1 - - [03/Nov/2015:20:57:48 +0000] "GET /wp-content/themes/sora%20new/library/images/facebook.png HTTP/1.1" 404 252
127.0.0.1 - - [03/Nov/2015:20:57:48 +0000] "GET /wp-content/themes/sora%20new/library/backgrounds/pricelist_.jpg HTTP/1.1" 200 298222
127.0.0.1 - - [03/Nov/2015:20:57:48 +0000] "GET /wp-content/themes/sora%20new/library/backgrounds/whychose2.jpg HTTP/1.1" 200 294465
127.0.0.1 - - [03/Nov/2015:20:57:48 +0000] "GET /wp-content/themes/sora%20new/library/backgrounds/homepage1.jpg HTTP/1.1" 200 503975
127.0.0.1 - - [03/Nov/2015:20:57:48 +0000] "GET /wp-content/themes/sora%20new/library/backgrounds/About-us.jpg HTTP/1.1" 200 1475379
127.0.0.1 - - [03/Nov/2015:20:57:48 +0000] "GET /wp-content/themes/sora%20new/favicon.png HTTP/1.1" 200 1223
127.0.0.1 - - [14/Nov/2015:20:00:27 +0000] "GET / HTTP/1.1" 200 23537
127.0.0.1 - - [14/Nov/2015:20:00:32 +0000] "GET /wp-content/themes/sora%20new/library/css/slicknav.css HTTP/1.1" 200 3084
127.0.0.1 - - [14/Nov/2015:20:00:32 +0000] "GET /wp-content/plugins/contact-form-7/includes/css/styles.css HTTP/1.1" 200 1103
127.0.0.1 - - [14/Nov/2015:20:00:32 +0000] "GET /wp-content/themes/sora%20new/library/css/sora_style.css HTTP/1.1" 200 12550
127.0.0.1 - - [14/Nov/2015:20:00:32 +0000] "GET /wp-content/themes/sora%20new/library/bootstrap/css/bootstrap.css HTTP/1.1" 200 40975
127.0.0.1 - - [14/Nov/2015:20:00:32 +0000] "GET /wp-content/themes/sora%20new/library/js/libs/modernizr.custom.min.js HTTP/1.1" 200 15126
127.0.0.1 - - [14/Nov/2015:20:00:32 +0000] "GET /wp-includes/js/jquery/jquery-migrate.min.js HTTP/1.1" 200 7200
127.0.0.1 - - [14/Nov/2015:20:00:32 +0000] "GET /wp-includes/js/comment-reply.min.js HTTP/1.1" 200 757
127.0.0.1 - - [14/Nov/2015:20:00:32 +0000] "GET /wp-content/plugins/contact-form-7/includes/js/scripts.js HTTP/1.1" 200 11145
127.0.0.1 - - [14/Nov/2015:20:00:32 +0000] "GET /wp-includes/js/jquery/jquery.js HTTP/1.1" 200 95807
127.0.0.1 - - [14/Nov/2015:20:00:32 +0000] "GET /wp-content/plugins/contact-form-7/includes/js/jquery.form.min.js HTTP/1.1" 200 15248
127.0.0.1 - - [14/Nov/2015:20:00:32 +0000] "GET /wp-content/themes/sora%20new/library/js/jquery.slicknav.min.js HTTP/1.1" 200 6356
127.0.0.1 - - [14/Nov/2015:20:00:32 +0000] "GET /wp-content/themes/sora%20new/library/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 33555
127.0.0.1 - - [14/Nov/2015:20:00:32 +0000] "GET /wp-content/themes/sora%20new/library/images/Logo.png HTTP/1.1" 200 3427
127.0.0.1 - - [14/Nov/2015:20:00:32 +0000] "GET /wp-content/themes/sora%20new/library/js/scripts.js HTTP/1.1" 200 22506
127.0.0.1 - - [14/Nov/2015:20:00:32 +0000] "GET /wp-content/themes/sora%20new/library/backjs/jquery.backstretch.js HTTP/1.1" 200 12581
127.0.0.1 - - [14/Nov/2015:20:00:32 +0000] "GET /wp-content/themes/sora%20new/library/js/jquery.fullPage.min.js HTTP/1.1" 200 22573
127.0.0.1 - - [14/Nov/2015:20:00:32 +0000] "GET /wp-content/themes/sora%20new/library/images/treatments/Face.png HTTP/1.1" 200 72638
127.0.0.1 - - [14/Nov/2015:20:00:33 +0000] "GET /wp-content/themes/sora%20new/library/images/treatments/cheeks.png HTTP/1.1" 200 4091
127.0.0.1 - - [14/Nov/2015:20:00:33 +0000] "GET /wp-content/themes/sora%20new/library/images/facebook.png HTTP/1.1" 404 252
127.0.0.1 - - [14/Nov/2015:20:00:33 +0000] "GET /wp-content/themes/sora%20new/library/images/twitter.png HTTP/1.1" 404 251
127.0.0.1 - - [14/Nov/2015:20:00:33 +0000] "GET /wp-content/themes/sora%20new/library/images/linkedin.png HTTP/1.1" 404 252
127.0.0.1 - - [14/Nov/2015:20:00:33 +0000] "GET /wp-content/themes/sora%20new/library/backgrounds/pricelist_.jpg HTTP/1.1" 200 298222
127.0.0.1 - - [14/Nov/2015:20:00:33 +0000] "GET /wp-content/themes/sora%20new/library/backgrounds/whychose2.jpg HTTP/1.1" 200 294465
127.0.0.1 - - [14/Nov/2015:20:00:33 +0000] "GET /wp-content/themes/sora%20new/library/backgrounds/homepage1.jpg HTTP/1.1" 200 503975
127.0.0.1 - - [14/Nov/2015:20:00:33 +0000] "GET /wp-content/themes/sora%20new/library/backgrounds/About-us.jpg HTTP/1.1" 200 1475379
127.0.0.1 - - [14/Nov/2015:20:00:33 +0000] "GET /wp-content/themes/sora%20new/favicon.png HTTP/1.1" 200 1223
127.0.0.1 - - [26/Nov/2015:21:31:23 +0000] "GET / HTTP/1.1" 200 23537
127.0.0.1 - - [26/Nov/2015:21:31:28 +0000] "GET /wp-content/plugins/contact-form-7/includes/css/styles.css HTTP/1.1" 200 1103
127.0.0.1 - - [26/Nov/2015:21:31:28 +0000] "GET /wp-content/themes/sora%20new/library/css/slicknav.css HTTP/1.1" 200 3084
127.0.0.1 - - [26/Nov/2015:21:31:28 +0000] "GET /wp-content/themes/sora%20new/library/css/sora_style.css HTTP/1.1" 200 12550
127.0.0.1 - - [26/Nov/2015:21:31:28 +0000] "GET /wp-content/themes/sora%20new/library/bootstrap/css/bootstrap.css HTTP/1.1" 200 40975
127.0.0.1 - - [26/Nov/2015:21:31:29 +0000] "GET /wp-content/plugins/contact-form-7/includes/js/jquery.form.min.js HTTP/1.1" 200 15248
127.0.0.1 - - [26/Nov/2015:21:31:29 +0000] "GET /wp-includes/js/comment-reply.min.js HTTP/1.1" 200 757
127.0.0.1 - - [26/Nov/2015:21:31:28 +0000] "GET /wp-content/themes/sora%20new/library/js/libs/modernizr.custom.min.js HTTP/1.1" 200 15126
